rsi_period,rsi_oversold,rsi_overbought,sma_short,sma_long,macd_fast,macd_slow,vote_threshold,total_trades,wins,losses,win_rate,profit_factor,total_pnl,pair
14,25,70,10,50,8,34,50,4611,2474,2137,53.65430492301019,0.9840430510060829,-3410,USD/CAD
14,30,70,10,50,8,34,50,4635,2486,2149,53.635382955771306,0.9832945556072588,-3590,USD/CAD
14,30,70,10,50,12,34,50,4701,2520,2181,53.60561582641991,0.9821182943603848,-3900,USD/CAD
14,25,70,10,50,12,26,50,4606,2468,2138,53.58228397742075,0.9811973807296535,-4020,USD/CAD
14,30,70,10,50,12,26,50,4631,2481,2150,53.573742172317,0.9808604651162787,-4115,USD/CAD
14,30,75,10,50,12,34,50,4653,2492,2161,53.556845046206746,0.9801943544655248,-4280,USD/CAD
14,25,70,10,50,12,34,50,4668,2500,2168,53.55612682090831,0.9801660516605162,-4300,USD/CAD
14,25,75,10,50,12,34,50,4620,2472,2148,53.5064935064935,0.9782122905027929,-4680,USD/CAD
14,25,75,10,50,8,34,50,4585,2453,2132,53.50054525627045,0.977978424015009,-4695,USD/CAD
21,30,70,10,50,8,34,50,4572,2446,2126,53.499562554680665,0.9779397930385697,-4690,USD/CAD
7,30,70,20,50,8,34,50,5249,2569,2680,48.94265574395123,0.8147947761194027,-49635,EUR/GBP
7,30,70,20,50,12,26,50,5293,2588,2705,48.89476667296429,0.8132347504621068,-50520,EUR/GBP
7,30,70,20,50,8,26,50,5135,2509,2626,48.860759493670884,0.8121287128712867,-49335,EUR/GBP
7,30,75,20,50,8,34,50,5153,2515,2638,48.80652047351058,0.810367702805155,-50025,EUR/GBP
7,30,70,20,50,12,34,50,5395,2633,2762,48.80444856348471,0.8103005068790728,-52395,EUR/GBP
21,25,70,20,50,12,26,50,4590,2239,2351,48.77995642701525,0.8095065929391745,-44785,EUR/GBP
21,25,75,20,50,12,26,50,4590,2239,2351,48.77995642701525,0.8095065929391745,-44785,EUR/GBP
21,30,70,20,50,12,26,50,4590,2239,2351,48.77995642701525,0.8095065929391745,-44785,EUR/GBP
21,30,75,20,50,12,26,50,4590,2239,2351,48.77995642701525,0.8095065929391745,-44785,EUR/GBP
14,30,75,20,50,12,26,50,4636,2261,2375,48.77049180327869,0.8091999999999997,-45315,EUR/GBP
